"root","path","name","ext","bytes","mtime"
"C:\archetypes","C:\archetypes\AGENTS.md","AGENTS.md",".md","8056","2026-07-20T05:37:28.3249831Z"
"C:\archetypes","C:\archetypes\docs\security\SENTINEL_IMPERVIOUS_PROTOCOL_MASTER_PLAN.md","SENTINEL_IMPERVIOUS_PROTOCOL_MASTER_PLAN.md",".md","965","2026-07-20T21:32:03.9053199Z"
"C:\Architectura Mentis Nervosae","C:\Architectura Mentis Nervosae\Company\01_Funding_Strategy\INVESTOR_THESIS_MAP.md","INVESTOR_THESIS_MAP.md",".md","5037","2026-06-12T17:59:52.9265303Z"
"C:\Architectura Mentis Nervosae","C:\Architectura Mentis Nervosae\NeuroCognica Foundational Charter.md","NeuroCognica Foundational Charter.md",".md","185433","2026-06-10T09:33:36.1968164Z"
"C:\Architectura Mentis Nervosae","C:\Architectura Mentis Nervosae\NeuroCognica_ AURA OS Deep Analysis_.docx.txt","NeuroCognica_ AURA OS Deep Analysis_.docx.txt",".txt","619370","2026-05-29T15:11:29.5666547Z"
"C:\Architectura Mentis Nervosae","C:\Architectura Mentis Nervosae\NeuroCognica_ AURA OS Deep Analysis_.docx.txt.outline.txt","NeuroCognica_ AURA OS Deep Analysis_.docx.txt.outline.txt",".txt","3315","2026-06-07T22:34:53.6354007Z"
"C:\Architectura Mentis Nervosae","C:\Architectura Mentis Nervosae\NeuroCognica_Complete_Codex.md","NeuroCognica_Complete_Codex.md",".md","802077","2026-06-08T01:24:00.9371603Z"
"C:\Architectura Mentis Nervosae","C:\Architectura Mentis Nervosae\NeuroCognica-Volume-I-Corporate-Charter.md","NeuroCognica-Volume-I-Corporate-Charter.md",".md","43850","2026-06-07T23:11:37.4682128Z"
"C:\Architectura Mentis Nervosae","C:\Architectura Mentis Nervosae\NeuroCognica-Volume-II-Organizational-Architecture.md","NeuroCognica-Volume-II-Organizational-Architecture.md",".md","38105","2026-06-07T23:13:33.7256638Z"
"C:\Architectura Mentis Nervosae","C:\Architectura Mentis Nervosae\vol_1_execution_governance_dynamics.md","vol_1_execution_governance_dynamics.md",".md","138082","2026-06-07T20:45:52.4838509Z"
"C:\Architectura Mentis Nervosae","C:\Architectura Mentis Nervosae\vol_2_forever_law_and_codex.md","vol_2_forever_law_and_codex.md",".md","4349","2026-06-07T20:45:52.4863731Z"
"C:\Architectura Mentis Nervosae","C:\Architectura Mentis Nervosae\vol_4_chronosynthesis_evolution.md","vol_4_chronosynthesis_evolution.md",".md","3488","2026-06-07T20:45:52.4893706Z"
"C:\Architectura Mentis Nervosae","C:\Architectura Mentis Nervosae\VOLUME_I_CORPORATE_CHARTER_LEGAL_FOUNDATION.md","VOLUME_I_CORPORATE_CHARTER_LEGAL_FOUNDATION.md",".md","17801","2026-06-08T01:20:55.3438194Z"
